,when,timestamp,tweet,length,time_s
38,2017-01-01 19:48:25,1483296505,matka wróci³a i zaczyna siê awantura ,37,67705
39,2017-01-01 19:41:04,1483296064,"Jak Kryszak ""dowcipkowal"" w TVP, ze ""Kaczynski robi te rzeczy z wlasna matka"", Czerska byla zachwycona. Dzis sa zniesmaczeni szopka? Ohyda.",139,67264
40,2017-01-01 19:37:39,1483295859,Jak moja matka odzewie siê chocia¿by s³owem to chyba j¹ zabijê,62,67059
41,2017-01-01 19:33:47,1483295627,"matka Twojego idola z miniaturki to ¿ydówka. Wiêc i on jest ""pejs"".",67,66827
42,2017-01-01 19:26:59,1483295219,Czemu moja matka musi nas tak ignorowaæ,39,66419
43,2017-01-01 19:26:52,1483295212,pierwszy dzien nowego roku i matka juz mnie wkurwia ,52,66412
44,2017-01-01 19:24:30,1483295070,'This Town' osiagnê³o ponad 100 mln ods³uchañ na Spotify i zganijcie kto czuje siê jak dumna matka? ,100,66270
45,2017-01-01 19:17:19,1483294639,"e tam wybraniec mocy matka mu na erazmusie zaszala³a i tyle, moc wra¿eñ",71,65839
46,2017-01-01 19:06:26,1483293986,"jesli ustawie sobie kevinjcky to nikt z was nie bedzie wiedzial, o co chodzi, a ja bede szczesliwa matka tego shipu",115,65186
47,2017-01-01 19:01:06,1483293666,"@HrabiaOn @vonbreslauer ¿aden normalny ch³op tej baby nie chce, wiec Ona nadal siê stara! Nadzieja matka g³upich!",113,64866
48,2017-01-01 18:57:11,1483293431,"no rzeczywiœcie niektóre s¹ spoko,ale i tak wiêkszoœæ ju¿ przesadza. Nawet jak matka dla Louisa umar³a to one ,,Larry is real''",127,64631
49,2017-01-01 18:52:09,1483293129,"Powiedzia³a matka, która wmawia³a córce, ¿e jej ojcem jest inny facet ni¿ prawdziwy biologiczny. Do czasu rozwodu.",114,64329
50,2017-01-01 18:50:50,1483293050,Moja matka tez jest g³upia kurwa ona nie widzi tego czy jak,59,64250
51,2017-01-01 18:45:34,1483292734,moje dzieci.... jestem dumn¹ matka,34,63934
52,2017-01-01 18:44:20,1483292660,"Za 3 lata wzmianki o @gajewska_kinga bêd¹ siê zaczyna³y od ""pamiêtasz tak¹…"", a jej dzieci bêd¹ udawa³y, ¿e to nie ich matka.",125,63860
53,2017-01-01 18:38:24,1483292304,"cicho, od jutra na diete ide zupow¹ XDDD matka nawet ksiazke kupila, wiec spierdalaj",84,63504
54,2017-01-01 18:36:06,1483292166,"Matka Kurka: Nigdy nie by³o tak dobrego roku dla Ojczyzny | Fronda.pl http://www.fronda.pl/a/matka-kurka-nigdy-nie-bylo-tak-dobrego-roku-dla-ojczyzny,84825.html …",162,63366
55,2017-01-01 18:30:40,1483291840,"moja matka posz³a do koœcio³a w Kanadzie. Ksi¹dz uœmiechniêty, przyjazny ¿egna³ siê z ka¿dym w drzwiach koœcio³a. Szok!",119,63040
56,2017-01-01 18:20:11,1483291211,"polaka se napisa³ :D to zwyk³a wsza...nie ma siê czym przejmowaæ , mo¿e te¿ jakaœ choroba psychiczna bo matka bija w ³eb",120,62411
57,2017-01-01 18:07:32,1483290452,twoja matka jest dziwk¹,23,61652
58,2017-01-01 17:52:28,1483289548,Siedzê w salonie a ta stara baba i matka w jadalni na mnie napierdalaja i co myœl¹ ze nie s³yszê czy co XDD,107,60748
59,2017-01-01 17:51:43,1483289503,"Czego chcia³a od nas Matka Bo¿a w Fatimie? | Fronda.pl http://www.fronda.pl/a/czego-chciala-od-nas-matka-boza-w-fatimie,84829.html …",132,60703
60,2017-01-01 17:44:47,1483289087,"Sam Winchester (Supernatural)
> inna lepsza 'odmiana' nerda
> jego dziewczyna zginê³a tak jak jego matka
> chcia³ normalnego ¿ycia pic.twitter.com/xPMgtZygBk",157,60287
61,2017-01-01 17:39:59,1483288799,"Laura: Julki styl to trash 
Moja matka: chyba bardziej garbage",62,59999
62,2017-01-01 17:24:08,1483287848,Gratulacje D.A. #Tande z³o¿y³a równie¿ jego matka #4hills #GaPa #skijumpingfamily #skokihttps://twitter.com/Norskijump/status/815606436835315712 …,146,59048
63,2017-01-01 17:04:12,1483286652,"misterna przepowiednia nie wypali³a, bo matka louisa umar³a (chocia¿ widzia³am, ¿e jej œmieræ mia³a odwróciæ uwagê od larryego)",127,57852
64,2017-01-01 16:39:05,1483285145,"„Wyborczej” nie pasuje Matka Bo¿a jako patronka. Na Czerskiej woleliby poetê http://www.pch24.pl/wyborczej-nie-pasuje-matka-boza-jako-patronka--na-czerskiej-woleliby-poete,48467,i.html#.WGkwPYgO7gU.twitter …",207,56345
65,2017-01-01 16:38:44,1483285124,"tak sie martwilam, ze az napisalam do jego kumpla i on potwierdzil ze matka mu na stowe telefon zabrala",103,56324
66,2017-01-01 16:34:24,1483284864,"Ja pierdole, pierwszy dzieñ roku a matka ka¿e mi iœæ do kosciola ;)) jak zwykle musi wszystko psux",98,56064
67,2017-01-01 16:29:22,1483284562,"Znowu jestem chora, a muszê iœæ do szko³y, bo matka uwa¿a, ¿e nie jestem chora i nie muszê iœæ do lekarza. XD",109,55762
68,2017-01-01 16:26:18,1483284378,Ja pierdole chyba prawdziwa matka taty zadzwonila do mamy i opowiada jej co i jak z jego smiercia i placze again jzkakdos,121,55578
69,2017-01-01 16:22:35,1483284155,"juz jestwm na stowe pewna, ze matka zabrala mu telefon",54,55355
70,2017-01-01 16:22:29,1483284149,"Nie ¿yje aktorka Debbie Reynolds, matka Carrie Fisher. Zmar³a zaledwie dzieñ po œmierci córki http://wpolityce.pl/kultura/321261-nie-zyje-aktorka-debbie-reynolds-matka-carrie-fisher-zmarla-zaledwie-dzien-po-smierci-corki …",222,55349
